aX,aY,aZ,gX,gY,gZ
0.375,0.107,-0.818,-85.571,1.770,206.360
0.376,0.149,-0.888,-84.412,-7.568,192.871
0.321,0.198,-0.969,-85.083,-26.367,173.889
0.154,0.273,-1.038,-83.130,-49.377,152.100
0.028,0.272,-1.023,-69.458,-66.284,131.104
-0.057,0.223,-0.982,-42.358,-73.547,115.845
-0.108,0.059,-0.903,-10.132,-74.585,109.558
-0.121,-0.202,-0.782,12.329,-69.702,111.694
-0.107,-0.421,-0.696,10.681,-68.420,117.554
-0.149,-0.459,-0.669,-28.564,-74.524,116.943
-0.268,-0.434,-0.735,-94.421,-78.064,103.455
-0.359,-0.198,-0.873,-156.433,-76.660,78.491
